age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
24,single,m,straight,athletic,,socially,never,graduated from high school,other,67.0,70000,military,2012-06-29-22-40,"oakland, california",,,,aquarius,no,english (fluently),"i am a single guy who likes to hang out with friends,spend time with family,try new things,and meet new people!! i am currently serving in the united states navy and stationed in japan....",i serve in the military and also taking college classes at the same time...,,my smile and dimples because i'm always smiling :),"i listen to all kinds of music,love to try new food,and love horror,action,and comedy flicks..","shopping,eating,working out,friends,family and music",going home to see my family and friends and meeting that special someone..,if i'm on duty i'm working..if not i'm either relaxing at home or hanging out with my fellow service members,i am allergic to turkey lol,if you are interested in learning more about me
31,single,f,straight,full figured,,socially,never,graduated from masters program,pacific islander,65.0,60000,education / academia,2012-06-18-16-45,"fremont, california","doesn't have kids, but wants them",likes dogs,catholicism and somewhat serious about it,libra,no,english,"i hear a lot of, ""she's bubbly and cheerful."" better cheerful than a downer, right? :) generally i am an optimistic person. i take life seriously, when it's time to take life serious, but most of the time i just want to enjoy life and its many blessings. i value character- honesty, respect, and kindness towards others. family, friends, and my faith are my life line.",teaching 1st graders takes up a lot of my weekdays... at least until summer break. i've started swimming a lot to get healthy. i love spending time with family & friends.,starting things.,is my positive energy.,"i shamelessly read a lot of young adult books- harry potter, twilight, and, most recently, hunger games. i love heading to the movies, and am addicted to movie popcorn. i love a good action movie, but romantic comedies are my favorite. i did have hbo as a kid, so my sisters and i know and love a lot of 80s movies, especially the ones that randomly break into song and dance.",faith family friends tv  hmm... i think about the other two.,,having dinner with friends. watching a movie. chillin' at home watching tv.,,"...you are generally happy, have similar values, and would like to get to know me."
46,single,f,straight,thin,anything,socially,never,graduated from college/university,"middle eastern, hispanic / latin",67.0,70000,artistic / musical / writer,2012-06-29-16-57,"oakland, california","doesn't have kids, and doesn't want any",,other,,no,english,i am a very happy person looking for long term companionship. when i first meet someone i tend to be a littly shy but i am very warm and affectionate once you get to know me. i love cooking in the kitchen with a date as well as going on long walks. i enjoy having family dinners and entertaining friends.,i am a residential interior designer in san francisco.,"cooking, laughing, furniture shopping.",my eyes,"i'm really into the middle eastern culture - the food, music and beautiful people. i listen to arabic music and love going to arabic clubs and restaurants.",lots of warm summer days gardening dancing shopping working laughter,what am i going to wear to work tomorrow?,at a nice restaurant with a friend having appetizers and glass of wine at the bar.,that i'm a very private person.,you are interested in chatting on the phone first then hanging out some place fun together.
27,single,m,straight,fit,anything,socially,never,graduated from masters program,asian,67.0,70000,computer / hardware / software,2012-06-29-05-38,"san mateo, california","doesn't have kids, but might want them",,,pisces and it&rsquo;s fun to think about,when drinking,english,"i am from india and working as a software engineer. i am fun loving guy. i spend my weekends with outdoor activities like hiking, backpacking, camping , kayaking or enjoying music at some festival grounds. even if i have lot of friends , i want a company to share my life in all means. overall i am a laid back person. even if people are laughing on my act, i won't stop doing that , if i feel i am correct.but that doesn't mean i won't admit others , especially your opinion on my life. i respect you and your feelings as an individual and expecting same in back.","as i said earlier , i am a software engineer in a company based on south sf.  i love outdoor and my outdoor activities include hiking backpacking camping music festivals kayaking sailing  of course i love movies. i am ready to try anything wat u suggest.","cheering people up, making people laugh , trying new things and making friends . you should fond the rest.","i think my hair, tell me what u noticed.","i love country , bules and all gud music stuffs.  forest gump, cast away and almost all tom hanks movies lord of the ring series and there are lot it is difficult to list out all. i watch other language movies too with subtitle.  i am not a good book lover.",,i am a day dreamer . i usually dream of doing great things like climbing mount k2 or winning oscar,"most probably i will be boozing in pub, dive bar or at home with friends or may be camping somewhere","i am completely disordered , i don't think so it is private.",you are fun and enjoying outdoor activities. you shouldnt be a serious person.
30,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,asian,68.0,100000,science / tech / engineering,2012-06-11-17-46,"san francisco, california",doesn't have kids,,atheism,libra,no,"english, hindi","i grew up in mumbai and moved to america about 8 years back. got a masters in computer science from usc in los angeles before moving to seattle to work for microsoft. after spending a wonderful 5 years there i recently moved to san francisco to work for linkedin. life has been very good to me and have been blessed with some wonderful frnds here and back in seattle. like being around real people with no fake personalities and taking every day as it comes. i am very outdoorsy person and recently finished an olympic triathlon (signed up for the kahuna half iron this september!). a typical week in my life besides working at linkedin consists of socialising with frnds, salsa dancing, eating out, going on hikes, watching movies, working out and enjoying everything else this great city has to offer!. love travelling, doing things on whims and fancies, going places and meeting people from diverse backgrounds.  if you like what you just read shoot me an email.",,"dancing, triathlons, sports ...long conversations about anything and everything under the sun!",humor,"love watching all sorts of cinema (documentary, international..bring it on!). like cooking.. so used to watch a lot of food network but not been watching a lot of tv lately (netflix!). some favorite shows...breaking bad, battlestar galactica, rome (you shld watch it!)and many more!","frnds, family, outdoors, dancing, love, food",,out with frnds watching a movie/lounging or doing a quiet dinner or just staying in recovering from a long week,,if you are an optimist who loves living life if you like long stimulating conversations if you like travelling if you think dancing is about having fun and not necessarily knowing the moves!
37,single,m,gay,average,mostly anything,often,never,graduated from college/university,black,72.0,50000,education / academia,2012-06-27-23-24,"san francisco, california","doesn't have kids, but might want them",,atheism but not too serious about it,gemini but it doesn&rsquo;t matter,no,english (fluently),uncomplicated and sane,moved back to sf a few months ago. going on vacation to belize in mid-february. trying to get a little dancing in before then.,"is this the adult section? i'm really good at problem solving and still making a mess of things; dancing, boiling water; drinking, sleeping, and listening.",rosy disposition. good nature.,"tv: game of thrones, amc's the walking dead, downton abbey, once upon a time, law & order movies: the long kiss goodnight, magnolia, star trek music: dance music food: it's a necessity.",glasses/contacts. food. water. housing. clothing. tooth brush.  realist here.,"what i forgot to do today, what i could have done better, a compatible life partner, and what i can do to make tomorrow better.","on a typical friday night, i am chatting with my roommate after dinner and contemplating going out dancing, but too tired from work to make it happen.",i'm a reformed dork.,"you should message me if you have a heart, a healthy sense of right and wrong, self-respect, and think i'm attractive."
42,single,f,gay,average,,rarely,never,graduated from masters program,other,67.0,50000,medicine / health,2012-06-14-20-50,"berkeley, california",,dislikes dogs,judaism and very serious about it,capricorn but it doesn&rsquo;t matter,no,"english, spanish (fluently), hebrew (okay)","i would be an excellent match for someone with keen relationship skills, high self-awareness, a commitment to taking responsibility for herself in encounters between us, and a vision for delightful possibility.  i am ready to connect with a wonderful woman. i am compassionate and a great cook. hiking, nature, shabbat, meditation, yoga, time apart and together, best practices of happy couples, contemplation, passion are important to me. i have an eclectic spiritual practice including deep and creative judaism, meditation, and yoga. i am also funny, energetic, and thoughtful. my life is full and i am happy.  i am a gourmet vegetarian cook. i love plants and nature, except i am allergic to dogs and cats.  most importantly i seek someone who is available for mutuality and clear communication.  i am meditative, brilliant, and sexy.  since i've been single, i've made a commitment to practice speaking the truth more clearly, both about what makes me feel happy and connected and what bothers me. i've found that all of life, including friendship, work, dating, and customer service, can be fertile ground for showing up with more compassion and honesty.  in studying and teaching mindfulness and couples' work, i bring a sense of increasing compassion and clarity to my interactions with the world.","deepening my connections with special people including my 3 year old goddaughter, meditating, walking, keeping shabbat. from time to time i write another queer poetic midrash. studying and teaching meditation and relationships, continually wanting to be more self-aware, kind, careful.",communicating,my generosity,,shabbat meditation gorgeous fresh produce library books nature family and friends,peace the environment what yummy recipes to cook for shabbat how to make the world a better place making more time for exercise and meditation meeting a woman,having shabbat dinner with friends,,
54,single,m,straight,athletic,anything,socially,never,graduated from high school,black,75.0,30000,political / government,2011-12-21-23-21,"menlo park, california",has a kid,likes dogs and likes cats,other and somewhat serious about it,cancer and it&rsquo;s fun to think about,no,english,i'm really like making others feel good about themsevles,looking for someone to fall in love with,kissing,my smile and protective nature,"love soul music and chicken tv (person of interest,jeapordy,cash cab)","my family,my happiness,my sanity,music,lovemaking,comunication",how to do something better,"willing to do new things but like spending 1on 1time with that special lady,maybe cooking a meal together,spooning on the couch ,or anything she might wanna do!!",i'm really a lot more sensitive than most men.,
62,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,,68.0,40000,other,2012-04-03-15-22,"berkeley, california",,likes dogs and likes cats,,taurus and it&rsquo;s fun to think about,no,english,"i am happy with my life. i am sensual, fun loving, intelligent, endowed with a sense of humor, deeply interested in people and have many close friendships. i honor my commitments. i diligently pursue healing all that does not serve me. i know when and where to get help when i need it. i have been living alone for the past seven years and have come to know i am just fine on my own. i also know i am a person who flourishes with a lover who is a companion of the heart.  i am a contemporary dance artist. i consider the studio my 2nd home. i have a bookkeeping business to pay the bills. getting out in nature is essential. i am also a home body who relishes creating a comfortable and beautiful environment. i spend a lot of time with friends both being active and having soulful discussion. i like going to concerts, films, museums and parties. especially parties where there is dancing. i read a lot of books. i do a lot of thinking about life and how i can live it deeply and with gratitude. i have loved living in the bay area now for 30+ years.","living it more fully than i ever have. i desire and am acting on sending my choreography out into the world like never before. i am embracing exhilarating fun, restorative relaxation, daring but not stupid risk taking and deep self-love (not necessarily in that order). i am taking care of my health knowing full well we never know what is to come (thanks be i don't know). i am pursuing a balanced life' with work, dance, play, study, social and solitude. i am looking for the one thing missing in my life, someone who i love and appreciate for all that they are (this of course includes those things we call limitations) and this someone returns that kind of love.","i am grounded and clear thinking. i am able to take appropriate action and keep my equanimity when life hands me something most unwanted and very awful. i love fully and happily. i keep promises and maintain my commitments. i recognize when not to. i am intuitive. because of my curiosity to know people i ask questions, listen to their answers and mostly remember what they said.  i'm also really good at:  laughing and crying  listening, discussion and pondering  spur of the moment adventures  reading, writing and dancing  enjoying and appreciating  sensuality","i am fun to be with, easy to have a conversation with, and thoroughly engaged in whatever i'm doing.","i have a very eclectic taste for music. everything from gregorian chant, classical, rock, soul, blues, jazz, funk, country western, experimental music. i go in and out of what i listen to. right now i'm listening a lot to: experimental: trilogie de la mort by eliane radigue, a singing bowls by rainer tillmann, satie-piano works played by pascal roge, ella fitzgerald and leonard cohen.  books are a necessity. my most recent fiction books are: the elegance of the hedgehog by muriel barbery, golden compass, trilogy by philip pullman, girl who played with fire, trilogy by steig larsson and private life by jane smiley. recent non fiction: crow planet: essential wisdom from the urban wilderness by lyanda lynn haupt and making the gods work for you by caroline casey. i read whatever catches my eye: classics, fiction and nonfiction of all kinds.  recent films: the king's speech,winter's bone, another year and silent light (especially great). i am into netflixs when i can't get to the theater.  although i like theater, comedy, music concerts, musical theater, i mainly go to dance performances. i don't watch television.  i enjoy food of all kinds and from most regions of the world. i am an omnivore. i like spicy and most any ethnicity. i like cooking meals together with friends. the foods i love and eat in moderation are: chocolate, and other sweets, good fresh baked breads, pastas, cheeses of all kinds, steak and other meats.","life, all forms of love (this includes sex), faith, lots of time in nature, shelter, dance.","i think about this mysterious, crazy, heart breaking, incredible world of ours. how do i fully hold my part in it?",i am happy that i'm done with my work week and looking forward to having free time'. sometimes out with friends. sometimes at home.,i share what is private for me only with those i've come to know.,if you found something you like. if you're curious to know more.
24,single,m,straight,skinny,,socially,never,graduated from college/university,asian,71.0,80000,science / tech / engineering,2012-04-22-13-46,"san francisco, california",,,christianity,gemini,,"english (fluently), chinese (okay), korean (poorly)","i'm new to the bay area, looking to make new friends :)",i'm a software engineer working in san francisco.,"in addition to my day job coding stuff, i'm a musician as well. i can sing, and play piano and guitar. i like audio and video production. i also enjoy gaming, anime, talking about politics, business and tech.","i have light brown eyes, and am fairly tall and skinny. i normally wear glasses. i am quite honest and reliable (some people might say naive and blunt), and have a sarcastic wit that sometimes people misunderstand.","i enjoy harry potter, love watching comedies, sci-fi, romance, action and animated films. i enjoy classic american cinema as well. i like all kinds of music, anything from beatles to green day to beethoven to john mayer. and i definitely love korean food alot :)",,"career, relationships, sometimes philosophic rants about life.","out with co-workers, or at home surfing... i am a bit shy, but am open to trying out new things.",that i'm on okcupid?,you like what you've read...
29,single,m,straight,athletic,,socially,never,graduated from college/university,pacific islander,70.0,100000,executive / management,2012-03-09-13-58,"oakland, california",,,,,no,"english (fluently), tagalog (okay), ilongo (fluently), chinese (poorly), spanish (poorly)","hi my name is vince i am a cool, friendly and down to earth person. i recently got my degree in accounting and pursuing this career. i am originally from the philippines and have moved to the states 10 years ago. in my free time i like to cook, eat, workout, basketball and travel, also go clubbing but only on occasions. i am a god-fearing person that is also family oriented and respectful because that is the way i was brought up.  i am cool, friendly, and down to earth","i always spend a lot of time in my job in general. i also am an avid lifter so gym is like home, i also like to watch the new movies on blueray and hbo channel. i like to travel, shop and eat. i mostly like meat, poultry and seafood but not picky when it comes to different kinds of cuisine.","hmm i would say in sports like basketball, tennis, swimming and bodybuilding. also, playing guitar, eating and taking photos and videos of person and scenery.","they say i look kind of serious and have a firm demeanor but i am actually cool, friendly and down to earth type of guy.","books- purpose driven life, alchemist movies- tons of movie titles but i like mostly action, drama, romance and suspense movies. music- pop, rock, r&b, hiphop, new wave, opm, lovesong. food- all types american to ethnic, meats, fish and poultry.",money food clothes tv internet religion fitness green tea,"what i am gonna do next, i plan things ahead. i am also a gym buff so i also think a lot about fitness and bodybuilding and i am quite an expert on this matter.","i am either at home watching movies, out with my friends to have a few drinks or i am working out.",i save my money for the rainy days.,"your a cool, genuine and outgoing person."
28,single,m,straight,athletic,,socially,never,graduated from masters program,indian,70.0,100000,science / tech / engineering,2012-05-27-17-51,"san francisco, california",,likes dogs,agnosticism but not too serious about it,taurus and it&rsquo;s fun to think about,no,english (fluently),,,,,,,,,,
26,single,m,straight,fit,,,never,graduated from ph.d program,,73.0,500000,artistic / musical / writer,2012-04-22-16-31,"san francisco, california",,,,,,"english (poorly), afrikaans (fluently), dutch (fluently), frisian (okay), yiddish (okay)","i'm here for the babes. i enjoy rock climbing, tapas, silk underwear, and dinner by candle light.",living it.,all sorts of things.,"""damn, he's so hot right now!""- what girls say when i walk into a room.","feydor- yeah, we're on a first name basis.  well the biennial mustache film fest is a good place to start.  good music.  mexican-sushi fusion. yeah, girl, i went there. what?",you,how hot i am.,"either base jumping, spelunking, after-hours snorkeling, or cooking you the best meal you've ever eaten then showing you what the rapture is really all about.",i'm on chuck norris' speed dial.,you were disappointed when you went to disneyland. i'll show where the real happiest place on earth is!
35,single,m,straight,athletic,,not at all,never,graduated from high school,black,75.0,60000,entertainment / media,2012-06-30-11-57,"berkeley, california",has kids,,other,virgo and it&rsquo;s fun to think about,no,english,"i""m a professional big kid. my company is funnyman entertainment. my motto is "" i'm a funnyman but i'm dead serious"" i've been fortunate enough to have created a career/business out all the things i've loved and grew up with. skateboarding, hip hop, graffiti art and helping other artists get to the heights their talent deserves. we do everything from booking of hip hop artists and bands, to booking tours, to doing event coordination for companies like red bull and skull candy. doing skateboard events and lots and lots of performing! the stage is an amazing place to be, hearing and seeing how your thoughts and ideas, amplified over a loud soundsystem effects and inspires is amazing!  family story my best friend's/ business partner's husband passed away about 4 years back. ( she has 2 kids one's lil man ahren who is 7 is now 7) from then i stepped in and was kinda the uncle, helping her out. gradually we decided that since neither of us wanted a tradition relationship but loved strong family, and both believe that a solid family is good for the kids so we should raise these kids in a good household. we bought a house together and i became the father of these two lil russian kids :) it works great cause she has been the closest person to me for over 15 years, and we've been business partners for the last 6. i've been over typical ""all or none"" relationships for a long time, ( not a big fan of human posession in the name of love) so i wasn't gonna be settling down and having kids of my own anytime soon. i love familly and at the same time i love my life, my freedom to make my own decisions, share love/space and time with whom ichoose. i've worked hard to be the person i am and i didn't appreciatehaving someone feel they could micromanage my life. we added a lilblack russian to the mix :) i've learned loong ago that no one person, place, passion or thing can provide all that i need nor desire from this univers. there is soo much to learn, share, teach and experience, divinity and lessons all to learn that come in the form of many different people, places and experiences. i'm a very intimate person and really prefer to really connect with people deeply, even if its just through sk8boarding, music or whatever tool we choose. my voice, my friendship, my touch, my art, are all my tools of sharing intimacy. i believe that the decision of what medium is used should be determined by the two involved in that exchange and only them. it's an interesting balance between ""family"" time and ""me"" time, finding the balance and having a good flow of love and energy in both of those really feed the roots of each and makes them both more fruitful and rewarding.","living and building, being an optimistic revolutionary, learning the many many ways of this human vessel i'm in. enjoy every minute of it. life is good and getting better. spending lots of time in the action sports (skateboarding, snowboarding etc) world. http://www.youtube.com/results?search_query=meet+bukue+one&aq=f","speed scrabble, making people smile, finding ways to help loved ones get to where they are trying to go, linking students with teachers and vice versa","my locks ( hair), goofy smile, my pigeon toes","all malcolm gladwell books, blink, tipping point, outliers, what the dog saw. nelson george "" death of rythm and blues"" and ""hip hop america"" russell simmons ""life and def"" and ""do you"" to name a few. music del the funky homosapien, roots manuva, saiian supa crew, buju banton, red rat, general degree, sade, teena marie, ame lerrieux, masta ace, chip fu, zero 7, expose, cover girls, shannon, lil suzy rodney o and joe cooley. food szechuan chicken, pad woon sen, bbq galore, strawberry, mango, peach, acai smoothies, (self made) roscoe's chicken and waffles.","skateboard, the microphone, bowling ball, can of paint ( spray paint) malcolm gladwell's insight, boondocks cartoon.","how much time is spent by folks playing the game of life, like basketball with no hoops set up. just dribblin' around. hard to make a shot when you have no goal or hoops to shoot for :)","if i'm not on tour doing shows, performing, i'm relaxing at home, or maybe at the skatepark",i have no belly button :),"you enjoy meeting new people beyond just the surface idle chatter. if you like good sarcasm, jokes, but yet logical, witty and enjoy thinking and smiling"
29,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,indian,71.0,250000,banking / financial / real estate,2012-06-21-20-03,"san francisco, california",,,hinduism,cancer,no,english,"passionate and adventurous, really hard-working and really fun-loving. i am pretty easy to please - i honestly can be just as happy going out and partying or cuddling up on the couch with a movie and chinese food. you can put me in any situation and i will make the best of it.  i moved to san francisco about a year ago and want to meet more people here to try new restaurants and explore the area together. i have spent the past decade really focused on my career (college, grad school, investment banking, hedge funds), and haven't spent as much time on relationships, but am finally at a point where i want to stop partying as much and get more serious with someone. i think my ideal match would be similar to me - high energy and low maintenance. i am also attracted to people who are smart, hard working, passionate, and have a good sense of humor (all things i that i hope describe me too).  the most important things in my life are my family (2 brothers), working out, and laughing - i like to have fun and try to make other people laugh as much as possible.  i think that's enough of an intro - message me if you want to find out more...",,,,,,,,,
40,single,m,straight,a little extra,strictly anything,often,never,graduated from two-year college,black,70.0,50000,transportation,2012-06-30-21-57,"vallejo, california",has kids,likes dogs and likes cats,,capricorn but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)","hello, im a 38 year old single father of three beautiful children. i am always open to meet new and interesting friends. my tastes in music vary widely, from '20 jazz to alternative. i have an open ear, as well as, an open mind. i love to sit an discuss any topics for hours, be it politics, world events, or whats going on in our own back yard. i've lived in the bay area for almost 20 years and am still not done discovering new and fascinating stuff to see and do. come with me and we can peel the layers of this wonderful corner of our world together like an onion. (except no tears). i can prepare a tasty dish with little or no effort. i am very self-reliant. the key is to enjoy being around someone, not to have to be around them. i still have my mid-west values that i was raised with. so c'mon and drop me a line so we can both have our lives enriched.",...expanding my circle of friends. getting out more and rediscovering life moving forward with a positive attitude getting better at everything i do,"i am really good with my hands. most guys can change your flat tire, i can fix it. im good at making people laugh, and feel at ease. i can cook and bake like nobodys business. i can keep you laughing, and make you just really feel good about anything.",is my stature and confidence. if i'm in a social situation it's my wit.,"i love spicy foods. i like veggies & salads, but i am a man so i do love a well cooked piece of meat, lol. as far as music i'm stuffing (yes stuffing) everything from every genre' i can find into my musical platter. i'm a fan of quenten tarrinto, robert rodregez, and clint eastwood movies.","in no specific order.... my family my phone my car (getting a new one soon) money my laptop my warm comfy bed the internet (we all couldn't to a point, right?)",the future for my kids. the future period and if what im doing to prepare for it is suffient.,"going out and letting the night take me where it may, or if the week was brutal enough staying home and unwinding.",i guess you'll have to hear that from me personally.,you are interested in meeting eventually. i love to meet new and interesting people. hit me up sometime. :)
25,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,other,71.0,150000,banking / financial / real estate,2012-06-02-00-00,"redwood city, california",doesn't have kids,likes dogs,,,no,english (fluently),"i moved to california from toronto for b-school and ended up working in finance. when i am not at work, i teach workshops around the world that help students break into their career of choice. apart from this, i love to be around people and enjoy eating at different restaurants whenever i can.","i am an investment banker by career, that is my full-time job. when i am not at work, i fly throughout us, europe, and asia, teaching workshops at leading universities and helping students break into their career of choice.","public speaking; the workshops i host can attract in excess of 1,000 students and i love to speak in front of them and help them with their careers. i am also a professional photographer, mostly covering wedding photography.",my eyes,,"family, 2 best friends, certainty, education, career, and love","my next step in life, every year brings new successes and failures and one must always look forward to how he/she can improve the situation and make the best of it.","finishing work, dinner, and spending time with friends",not a very private person,
30,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,asian,70.0,100000,other,2012-06-30-19-55,"san francisco, california","doesn't have kids, but wants them",has dogs and likes cats,,,no,english (fluently),"i moved to san francisco just 2 years ago and have no clue why it took me so long. i lived in the south bay for a few years after school, but decided i wanted a change of pace and now i'm loving it!  my friends would say i have a pretty addictive personality. when i discover something i like, i go all out! my work is pretty exhausting and leaves me with little to no spare time, so i value whatever time i actually get. when i'm free, stuff i do includes: catching concerts at the park, trying new restaurants, running my dog, cooking, working out, watching sports, and martial arts tricking.  i enjoy witty banter, and have a lot of fun hanging out with people who can dish it out as much as they can take it.  i'm basically on here looking to make new friends and expand my social circle. anything more than that would be outside of my expectations, but definitely nice:) big plus for 9ers and giants fans!","as of 4/12: in desperation mode for a bet i made with a few friends. had 6 months to gain 15 pounds of (mostly) muscle. i recently got all of my wisdom teeth removed and am shocked by how much being doped up for a week has set me back. bet ends in about a month, and losers have to run the bay2breakers in a speedo and mesh tank top. ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh. any gym rats here? lol  6/12: fail.",,,"movies: fight club, 40 year old virgin, knocked up, true lies, gladiator, troy, aliens, 2001: a space odyssey, the truman show, sunshine. anything by judd apatow, christopher nolan, stanley kubrick  music: muse, maroon 5, weezer, adele, jack johnson, kid cudi, b.o.b., armin van buuren, audiomachine  tv: i watch and follow 9ers football, giants baseball and sharks hockey. family guy and the office too",my dog coconut juice hot showers 49ers football adidas shorts and sweats the muni,"these hilarious (and horrible) online dating horror stories that my female friends keep telling me. who are these creeper guys and where do they come from??  example, guy meets girl for dinner. guy comes back to girls place after dinner and they start messing around. everything is going well. then, for no reason, guy pulls back, stares at girl and starts growling like a dog. makeout session continues with guy stopping every few minutes to growl at girl. hahahaha. if you have any such stories you'd like to share, i'd love to hear them:d  new story: guy meets girl for dinner. things go well. the check comes and guy pulls out a 10% coupon and $20 giftcard!!!!!!!!! tells girl to spot the rest. and then to top it off, he goes in for the kiss after the meal. wow","on my 4th run of game of thrones mixing (or attempting to make!!) music out with my buddies for a night of ""casual"" drinking =p",shut up,
33,single,m,straight,thin,mostly vegetarian,socially,never,graduated from college/university,,74.0,30000,artistic / musical / writer,2011-11-25-17-15,"san francisco, california",,likes dogs,catholicism and laughing about it,aries and it&rsquo;s fun to think about,sometimes,english (okay),"just a traveling blues man, working on his county and western songs about women, dogs and home made cookies.",looking for the perfect cup of coffee!,making stuff. at least that is what i'm told. mostly by my mom:),my gold tooth. it's around my neck.,"""things are scary"" by myself. ""ed wood"" directed by tim burton. my sis has me watching ""ugly americans."" i always seem to find myself with lou reed on lonely saturday nights. good noche!","coffee, apples, pencils, paper, paint and water ( i guess that one goes for most of us).",how san francisco is like the la brea tar pits!,drawing and painting.,i call my mom on the phone once a week.,you have a sense of humor! dating should be fun i am not sure why it feels so much like applying for job.
28,single,m,straight,average,mostly vegetarian,socially,never,graduated from masters program,,70.0,100000,science / tech / engineering,2012-06-29-00-48,"san francisco, california",,likes dogs,other but not too serious about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), hindi (fluently), russian (poorly)",i'm easy going & love to hang out & travel.,doing r&d work for a tech firm in soma monday-friday...chilling out on the weekends.,"poking fun at myself, planning activities, staying optimistic in tough situations, being persistent when i need to",that i'm really easy to have a conversation with,"movies: enemy at the gates, inception, the matrix series - this list keeps changing from time to time.  shows: the big bang theory, californication, the tudors, frasier, seinfeld, family guy...(stewie rules \m/ ), etc etc  music: i listen to all kinds really  food: thai, italian, mexican & of course indian.","my friends, my family, my phone, the internet, sunshine and pizza","immediate concerns like what to do on the next weekend, which restaurant to try next, etc... as well as stuff like why the universe exists","out on the town, catching a movie or dinner/drinking with friends",you'll have to ask me in person!,
41,single,m,straight,fit,,socially,never,graduated from law school,asian,72.0,150000,law / legal services,2012-05-19-18-57,"san francisco, california",,,christianity,libra,,english,"i am an attorney at sony playstation. i like to play golf and tennis. i'm a big boxing fan. i am very serious about my career but take time to travel (i'm a fan of big cities - love manhattan and london), workout, read, watch mindless television and stay in touch with my friends. i fully admit that i am skeptical about online dating and think that revealing too much in an online profile takes away from the mystery and fun of dating. a few vitals - i'm originally from oregon, went to ucsd and then emory for law school. so i'm trying this out as a way to start communications but i really think there is no substitute for just meeting someone live.",i'm recently divorced but i'm not dissuaded from hoping to find a great wife. it's a challenge - part of me says to just date around a bit and not get too tied down but i really want to find the right person.,,i am friendly and have a good sense of humor.,"vanity fair, economist, gq, fortune i like entourage, dancing with the stars and apprentice.  i like a pretty wide variety of music. dream concert would be foreigner and journey together. not afraid to admit that i really want to go see superdiamond soon.",iphone (admit that i like to text and email and generally stay in touch) batch of my latest favorite magazines (mostly a magazine reader i admit - hope that doesn't turn off the intellectuals out there) laptop (somewhat of a workaholic) workout and sports equipment (i have to do something almost every day - ranges from tennis to taking boxing class) latest biography (working on gw bush memoirs) car (people always think i'm from la or orange county),where to travel and how to balance work-life issues.,at a happy hour for a bit but often totally fine with just kicking it and staying in to watch a movie.,"i am very conflicted about lots of things. professional goals, whether i am doing enough to help society, whether i am in a mid-life crisis. it can almost lead to semi-paralysis, i get so wrapped around the axle on some of these things.",you are up for a little adventure - you like big cities. you love sports and fitness. you are smart and a good conversationalist. big bonus - if you happen to be one of the ten republicans in san francisco. i think i just blew it with 90% of the women in sf.
